name,"who region","cases - cumulative total","cases - newly reported in last 7 days","cases - newly reported in last 24 hours","deaths - cumulative total","deaths - newly reported in last 7 days","deaths - newly reported in last 24 hours"
Albania,Europe,335047,,,3605,,
Mali,Africa,33166,,,743,,
Botswana,Africa,330696,,,2801,,
Mauritius,Africa,328335,,,1074,,
"Micronesia (Federated States of)","Western Pacific",31765,,,62,,
"Cayman Islands",Americas,31472,,,37,,
"Saint Lucia",Americas,30285,1,1,410,,
Singapore,"Western Pacific",3006155,,,2024,,
Tuvalu,"Western Pacific",2943,,,1,,
"International commercial vessel",Other,29,,,0,,
Benin,Africa,28036,,,163,,
Sweden,Europe,2756921,926,926,27474,40,40
"Kosovo (in accordance with UN Security Council resolution 1244 (1999))",Europe,274279,,,3212,,
Somalia,"Eastern Mediterranean",27334,,,1361,,
Algeria,Africa,272151,,,6881,,
Italy,Europe,26822157,12578,12578,197535,49,49
Nigeria,Africa,267189,,,3155,,
Zimbabwe,Africa,266387,,,5740,,
"New Zealand","Western Pacific",2642190,1661,1661,4325,26,26
"Holy See",,26,,,0,,
"Solomon Islands","Western Pacific",25954,,,199,,
Serbia,Europe,2583470,,,18057,,
"United States Virgin Islands",Americas,25389,,,132,,
"San Marino",Europe,25292,,,126,,
Congo,Africa,25232,,,389,,
Montenegro,Europe,251280,,,2654,,
"United Kingdom of Great Britain and Northern Ireland",Europe,24978534,1753,1753,232112,,
Iraq,"Eastern Mediterranean",2465545,,,25375,,
"Russian Federation",Europe,24291925,13254,13254,403213,11,11
Afghanistan,"Eastern Mediterranean",235214,,,7998,,
Timor-Leste,"South-East Asia",23460,,,138,,
Mozambique,Africa,233843,,,2252,,
Martinique,,230354,,,1104,,
Hungary,Europe,2231074,149,149,49053,,
"Burkina Faso",Africa,22139,,,400,,
"Lao People's Democratic Republic","Western Pacific",219060,,,671,,
"Saint Helena",,2166,,,0,,
Liechtenstein,,21589,1,1,89,,
Iceland,Europe,210425,27,27,186,,
Gibraltar,,20550,,,113,,
Bangladesh,"South-East Asia",2051372,9,9,29499,,
Guadeloupe,,203235,,,1021,,
"El Salvador",Americas,201935,3,3,4230,,
"International conveyance (Kiribati)",Other,2,,,0,,
Grenada,Americas,19693,,,238,,
"Falkland Islands (Malvinas)",,1923,,,0,,
"Trinidad and Tobago",Americas,191496,,,4390,,
Bermuda,Americas,18860,,,165,,
"South Sudan",Africa,18823,,,147,,
Slovakia,Europe,1878250,147,147,21228,,
Maldives,"South-East Asia",186694,,,316,,
Georgia,Europe,1863615,,,17150,,
Tajikistan,Europe,17786,,,125,,
Uzbekistan,Europe,175081,,,1016,,
Jordan,"Eastern Mediterranean",1746997,,,14122,,
Ireland,Europe,1746185,517,517,9781,,
Namibia,Africa,172549,,,4108,,
Uganda,Africa,172155,,,3632,,
Ghana,Africa,172069,,,1462,,
Monaco,Europe,17181,,,67,,
"Equatorial Guinea",Africa,17130,,,183,,
Samoa,"Western Pacific",17057,,,31,,
T�rkiye,Europe,17004722,2,2,101419,,
Tonga,"Western Pacific",16989,,,13,,
"Marshall Islands","Western Pacific",16297,,,17,,
Nicaragua,Americas,16189,1,1,245,,
Dominica,Americas,16047,,,74,,
Pakistan,"Eastern Mediterranean",1580631,,,30656,,
Jamaica,Americas,157222,15,15,3611,,
Djibouti,"Eastern Mediterranean",15690,,,189,,
"Central African Republic",Africa,15441,,,113,,
Norway,Europe,1514205,828,828,5732,,
Kazakhstan,Europe,1504370,,,19072,,
Finland,Europe,1499712,,,11466,,
"Northern Mariana Islands","Western Pacific",14942,11,11,41,,
Montserrat,Americas,1403,,,8,,
Spain,Europe,13980340,,,121852,,
Cambodia,"Western Pacific",139321,1,1,3056,,
Lithuania,Europe,1372139,1377,1377,9810,,
Slovenia,Europe,1356945,199,199,9710,,
Rwanda,Africa,133265,,,1468,,
Bulgaria,Europe,1330921,521,521,38702,1,1
Croatia,Europe,1324814,1146,1146,18755,1,1
Morocco,"Eastern Mediterranean",1279115,,,16305,,
Gambia,Africa,12627,,,372,,
"Puerto Rico",Americas,1252713,,,5938,,
Cameroon,Africa,125259,,,1974,,
Guatemala,Americas,1250376,3,3,20203,,
Lebanon,"Eastern Mediterranean",1239904,,,10947,,
"Costa Rica",Americas,1235145,,,9373,,
"Saint Martin (French part)",,12324,,,46,,
Malta,Europe,122920,55,55,923,1,1
"Bolivia (Plurinational State of)",Americas,1212147,,,22387,,
Vanuatu,"Western Pacific",12019,,,14,,
"International conveyance (Vanuatu)",Other,12,,,0,,
Greenland,Europe,11971,,,21,,
Yemen,"Eastern Mediterranean",11945,,,2159,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,41,,
Australia,"Western Pacific",11861161,,,25236,,
"Viet Nam","Western Pacific",11624000,,,43206,,
Tunisia,"Eastern Mediterranean",1153361,,,29423,,
Cuba,Americas,1113662,,,8530,,
"Sint Maarten (Dutch part)",Americas,11051,,,92,,
Barbados,Americas,108716,74,74,593,,
Niue,"Western Pacific",1087,,,0,,
Ecuador,Americas,1077623,,,36050,,
Angola,Africa,107481,,,1937,,
"United Arab Emirates","Eastern Mediterranean",1067030,,,2349,,
Panama,Americas,1044904,10,10,8753,,
Uruguay,Americas,1041376,13,13,7682,,
"United States of America",Americas,103436829,,,1195262,757,757
Eritrea,Africa,10189,,,103,,
Mongolia,"Western Pacific",1011489,,,2136,,
Argentina,Americas,10101406,,,130664,,
"Democratic Republic of the Congo",Africa,100973,,,1474,,
Nepal,"South-East Asia",1003450,,,12031,,
"Democratic People's Republic of Korea","South-East Asia",0,,,0,,
Turkmenistan,Europe,0,,,0,,
